capture_id,n,pos,neg,accuracy,recall,precision,fpr,tp,fp,fn,tn,avg_score
nonvpn_youtube_capture3,248,0,248,1.0,0.0,0.0,0.0,0,0,0,248,0.0008136599790304899
nonvpn_youtube_capture4,148,0,148,1.0,0.0,0.0,0.0,0,0,0,148,0.00032661407021805644
vpn_rdp_capture_3,4,4,0,1.0,1.0,1.0,,4,0,0,0,0.9989427924156189
vpn_scp_capture1,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.999935507774353
vpn_sftp_capture3,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999094009399414
vpn_sftp_capture5,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9976261854171753
vpn_skype-chat_capture11,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999738931655884
vpn_skype-chat_capture13,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999863505363464
vpn_skype-chat_capture17,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999717473983765
vpn_skype-chat_capture20,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999861717224121
vpn_skype-chat_capture21,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999856948852539
vpn_skype-chat_capture24,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999831318855286
vpn_skype-chat_capture26,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999892115592957
vpn_skype-chat_capture27,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999669194221497
vpn_skype-chat_capture29,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999865889549255
vpn_skype-chat_capture3,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.999938428401947
vpn_skype-chat_capture31,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.99998539686203
vpn_skype-chat_capture34,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999807476997375
vpn_skype-chat_capture37,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.999988853931427
vpn_skype-chat_capture41,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999886155128479
vpn_skype-chat_capture46,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999895095825195
vpn_skype-chat_capture49,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999770522117615
vpn_skype-chat_capture51,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999862909317017
vpn_skype-chat_capture54,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999889135360718
vpn_skype-chat_capture55,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.9999721050262451
vpn_skype-chat_capture7,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.999983549118042
vpn_skype-chat_capture9,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.999817430973053
vpn_ssh_capture3,2,2,0,1.0,1.0,1.0,,2,0,0,0,0.999725878238678
vpn_voip_capture3,116,116,0,0.9913793103448276,0.9913793103448276,1.0,,115,0,1,0,0.9937426447868347
